code,startTime,endTime,result,shareRatio,cumReturn(%),maxDrawdown(%),longestDrawDownDuration,tradeCount,profitableCount,unprofitableCount
300651,2017-05-09,2019-11-26,852697.5483949991,-0.7141698486246352,-14.730245160499889,23.314884336000063,"902 days, 0:00:00",60,17,43
600346,2001-08-20,2019-11-26,669176.5615059995,-0.44039421599318784,-33.08234384939961,58.76261096005374,"2100 days, 0:00:00",401,109,292
300308,2012-04-10,2019-11-26,632941.4431300007,-0.27264827426496274,-36.70585568699979,59.74366038958683,"1033 days, 0:00:00",179,54,125
603096,2017-04-25,2019-11-26,1101827.569657,-0.014513849933806411,10.182756965699857,13.855627518647202,"560 days, 0:00:00",66,18,48
300280,2011-12-29,2019-11-26,1410011.755032,0.1286817707506801,41.00117550319966,37.101892149514974,"1330 days, 0:00:00",143,36,107
601939,2007-09-25,2019-11-26,874093.0360550012,-0.3194185062968561,-12.590696394499956,49.9069807245634,"4408 days, 0:00:00",310,99,211
002856,2017-03-20,2019-11-26,540595.9121510001,-0.8142457400022972,-45.94040878490004,47.45847022206534,"922 days, 0:00:00",56,16,40
603986,2016-08-18,2019-11-26,919551.6284880005,-0.0647480126445139,-8.044837151199713,41.025596485956,"554 days, 0:00:00",67,20,47
600702,2000-11-21,2019-11-26,954343.3447480061,-0.12647151215057298,-4.565665525199458,63.37691061353944,"2696 days, 0:00:00",496,162,334
002889,2017-07-31,2019-11-26,575217.7929049999,-1.0137747299884448,-42.47822070949999,47.3603192963426,"818 days, 0:00:00",67,17,50
002898,2017-09-12,2019-11-26,603243.8124259998,-1.2797368203525132,-39.675618757400045,40.1468927734928,"762 days, 0:00:00",51,12,39
000636,2000-11-21,2019-11-26,1479134.7851315015,-0.0065307904412470474,47.91347851315049,49.54238495791948,"2290 days, 0:00:00",478,137,341
603365,2017-11-20,2019-11-26,913063.8484479992,-0.5058991351180326,-8.693615155199952,28.42146784594675,"544 days, 0:00:00",49,11,38
002901,2017-09-22,2019-11-26,1156313.7078000004,0.2013429224374717,15.631370780000186,25.225454367198513,"562 days, 0:00:00",55,19,36
300701,2017-09-15,2019-11-26,651575.4271674992,-0.7697489212107096,-34.84245728325025,49.29035526784301,"601 days, 0:00:00",58,16,42
603505,2017-05-03,2019-11-26,959078.5610210006,-0.062246269534304365,-4.0921438979001135,41.29741814980011,"806 days, 0:00:00",59,20,39
002008,2004-06-25,2019-11-26,522272.13286100083,-0.28812899704699574,-47.77278671389974,80.79989737757789,"1677 days, 0:00:00",416,142,274
300642,2017-04-21,2019-11-26,878858.555801,-0.5103251076562664,-12.114144419900008,21.479616008735483,"602 days, 0:00:00",63,17,46
603466,2017-10-20,2019-11-26,566301.6736155002,-1.443724004837765,-43.36983263844999,43.36983263844998,"746 days, 0:00:00",54,17,37
600197,2000-11-21,2019-11-26,1871427.4031864977,0.007673319020131647,87.14274031865064,40.0212944820183,"2142 days, 0:00:00",460,129,331
300604,2017-04-17,2019-11-26,333095.5642440003,-1.0697638443873023,-66.69044357560001,69.36429852010116,"928 days, 0:00:00",66,19,47
600036,2002-04-09,2019-11-26,940420.6199424966,-0.18818546476901388,-5.957938005750418,68.78791660158875,"4409 days, 0:00:00",455,151,304
002921,2017-12-27,2019-11-26,706678.320408,-0.8019133128228516,-29.332167959199985,39.357887515500735,"593 days, 0:00:00",47,7,40
000403,2000-11-21,2019-11-26,1073397.8802360028,-0.30746068386690195,7.339788023600269,32.835240081515984,"6799 days, 0:00:00",273,71,202
002919,2017-12-18,2019-11-26,543794.2939270004,-0.8481361687349293,-45.62057060730007,51.68304688234,"550 days, 0:00:00",49,13,36
000820,2000-11-21,2019-11-26,1430093.3928110006,-0.026670134327158968,43.00933928110054,50.87042893320375,"3206 days, 0:00:00",324,86,238
600585,2002-02-07,2019-11-26,803336.2889610005,-0.2524118567912456,-19.666371103900094,60.144374579045454,"4450 days, 0:00:00",446,155,291
603605,2017-11-15,2019-11-26,1396392.974163,0.6644269318992642,39.63929741629983,14.643987406936157,"392 days, 0:00:00",51,24,27
603320,2017-05-02,2019-11-26,796560.3518515001,-0.4517197332183894,-20.343964814850036,34.228161709297275,"749 days, 0:00:00",61,17,44
603515,2016-08-19,2019-11-26,1072689.053817501,-0.11369862189064711,7.268905381750179,19.250113648301006,"841 days, 0:00:00",103,24,79
002142,2007-07-19,2019-11-26,419016.27518949955,-0.43892902558390184,-58.098372481050006,80.02809830115336,"4486 days, 0:00:00",389,129,260
600486,2002-04-25,2019-11-26,976530.0577939987,-0.30602495811047287,-2.3469942206000405,46.71877094000922,"1638 days, 0:00:00",443,132,311
603059,2018-03-02,2019-11-26,731966.2473849994,-1.281001639645145,-26.803375261499983,34.62035638023402,"609 days, 0:00:00",44,11,33
300644,2018-02-06,2019-11-26,663831.8004844992,-0.8588634631163047,-33.616819951550106,42.22858774748668,"552 days, 0:00:00",42,10,32
603080,2018-01-03,2019-11-26,430938.98052400013,-1.2516537476212255,-56.90610194759997,67.64321624033607,"595 days, 0:00:00",51,14,37
600887,2000-11-21,2019-11-26,905147.7794484965,-0.2938000832217446,-9.485222055150967,44.90488551941393,"2946 days, 0:00:00",431,134,297
002304,2009-11-06,2019-11-26,966008.7062330003,-0.1630645146843981,-3.3991293767004604,39.76043606763421,"2689 days, 0:00:00",296,95,201
600885,2000-11-21,2019-11-26,1005564.6595535018,-0.21877412200099444,0.5564659553496387,46.657558097217034,"4142 days, 0:00:00",451,122,329
300296,2012-03-15,2019-11-26,678469.5285979994,-0.5486788081571785,-32.1530471402002,40.34908132998906,"1462 days, 0:00:00",183,50,133
002614,2011-09-09,2019-11-26,1003703.5433940056,-0.16772497826362512,0.3703543394006248,47.39850702120576,"1488 days, 0:00:00",203,60,143
600009,2000-11-21,2019-11-26,435981.0990784989,-0.40416832573120887,-56.401890092149934,74.74845566101986,"4561 days, 0:00:00",570,169,401
603660,2016-12-01,2019-11-26,879078.2954435,-0.46221670282113186,-12.092170455650075,29.16843236274381,"551 days, 0:00:00",72,20,52
603039,2017-01-13,2019-11-26,881013.2586834998,-0.6375409888637171,-11.898674131650012,22.546111277462614,"995 days, 0:00:00",68,21,47
000710,2000-11-21,2019-11-26,2277359.555705997,0.09693772575288097,127.73595557059933,36.69148677029767,"2254 days, 0:00:00",410,111,299
002916,2017-12-13,2019-11-26,824872.691015001,-0.2413845253954785,-17.512730898499928,40.979750705049334,"666 days, 0:00:00",57,19,38
000661,2000-11-21,2019-11-26,2594771.9426479973,0.11053324946556556,159.4771942647991,48.11043722081504,"2216 days, 0:00:00",463,148,315
600167,2000-11-21,2019-11-26,1006457.6856564977,-0.3769392279876195,0.6457685656503953,53.87539983298889,"4327 days, 0:00:00",418,111,307
601012,2012-04-11,2019-11-26,1733399.5697479995,0.23039209461226784,73.33995697480017,41.86655043727295,"897 days, 0:00:00",195,70,125
002035,2004-09-01,2019-11-26,1672338.1173160002,-0.03603698689063259,67.23381173160028,19.420094121807743,"1636 days, 0:00:00",371,124,247
600260,2000-11-21,2019-11-26,606091.8214969981,-0.2733940106931331,-39.390817850300245,67.62601559102578,"2686 days, 0:00:00",482,150,332
002812,2016-09-14,2019-11-26,870448.3927970004,-0.10702112307003486,-12.955160720300041,50.204946838903666,"567 days, 0:00:00",72,21,51
600132,2000-11-21,2019-11-26,2004011.5506624929,0.031127599665825678,100.40115506624949,55.68557096416556,"2833 days, 0:00:00",461,142,319
603499,2017-10-16,2019-11-26,1064809.8600459993,0.12584963888227346,6.480986004599831,35.6802924138312,"419 days, 0:00:00",43,12,31
002841,2017-01-19,2019-11-26,804497.1765960001,-0.5684296499366343,-19.550282340400027,35.38161032842794,"995 days, 0:00:00",79,19,60
603659,2017-11-03,2019-11-26,910690.6833050002,-0.3439652508850422,-8.930931669500008,37.39222425164085,"552 days, 0:00:00",54,15,39
300567,2016-11-22,2019-11-26,808509.6332705008,-0.42545583061155756,-19.14903667294996,40.61816367065238,"624 days, 0:00:00",79,21,58
002313,2009-12-03,2019-11-26,1761770.188760499,0.16148226451552067,76.17701887604989,32.27143936145279,"743 days, 0:00:00",236,70,166
600660,2000-11-21,2019-11-26,959730.6029895009,-0.2908867338620402,-4.026939701049958,40.225671431503926,"3675 days, 0:00:00",525,146,379
002886,2017-06-27,2019-11-26,817376.9585109991,-0.31684354756919014,-18.26230414890012,38.78492304516546,"818 days, 0:00:00",57,19,38
603496,2017-06-07,2019-11-26,935780.491986,-0.24822383436927054,-6.421950801399934,28.396305289064433,"535 days, 0:00:00",69,14,55
603010,2014-10-10,2019-11-26,613975.5177630004,-0.5908977703701137,-38.60244822370004,56.90200633011483,"1068 days, 0:00:00",98,27,71
002896,2017-08-29,2019-11-26,840561.0207915002,-0.5454714830417065,-15.943897920850002,27.268155745296248,"623 days, 0:00:00",57,12,45
000538,2000-11-21,2019-11-26,812883.4101740009,-0.34579168588145837,-18.71165898260009,44.82603264112648,"4694 days, 0:00:00",517,146,371
601113,2011-05-09,2019-11-26,928439.7510409988,-0.2837575316464545,-7.156024895899982,39.11569164827714,"1562 days, 0:00:00",184,43,141
300678,2017-07-28,2019-11-26,1342723.8405835025,0.41704118806080714,34.272384058350134,41.190127980925816,"624 days, 0:00:00",52,14,38
603363,2017-09-26,2019-11-26,738161.8450389996,-0.3062546273801721,-26.183815496100106,56.95526084603374,"671 days, 0:00:00",54,18,36
600771,2000-11-21,2019-11-26,1235311.4091825036,-0.1230928658902189,23.53114091824984,61.18535290495297,"2826 days, 0:00:00",440,123,317
300669,2017-06-29,2019-11-26,814235.954595,-1.282744785713904,-18.57640454049999,26.194998896997046,"817 days, 0:00:00",60,11,49
603882,2017-09-08,2019-11-26,1330430.9604384997,0.5308812819927149,33.043096043849914,15.076980497243852,"485 days, 0:00:00",58,23,35
600487,2003-08-22,2019-11-26,816418.1754234993,-0.3436533842213002,-18.358182457649797,45.643936072919885,"1956 days, 0:00:00",393,108,285
603383,2017-05-22,2019-11-26,915433.7993624997,-0.08586680281122686,-8.456620063750265,52.30800448335488,"322 days, 0:00:00",61,14,47
002866,2017-04-26,2019-11-26,736113.6415285005,-0.729020627699597,-26.388635847149832,36.93512557306281,"502 days, 0:00:00",53,12,41
002838,2017-01-06,2019-11-26,1192840.8149330018,0.17700070505438786,19.284081493300278,13.90555352433172,"1001 days, 0:00:00",77,14,63
600062,2000-11-21,2019-11-26,608147.6019440033,-0.5146789182004105,-39.18523980559977,58.657338449367636,"4346 days, 0:00:00",479,139,340
300655,2017-05-23,2019-11-26,1137069.6762999992,0.1310097685709492,13.706967629999966,23.880241428606283,"518 days, 0:00:00",59,20,39
300401,2014-10-09,2019-11-26,560982.3737464993,-0.5409028861190325,-43.90176262535002,66.21628570327132,"1652 days, 0:00:00",131,36,95
300676,2017-07-14,2019-11-26,633031.847818999,-0.6291849029069927,-36.69681521810004,65.12241239681367,"741 days, 0:00:00",70,20,50
000488,2000-11-21,2019-11-26,670744.6572729982,-0.3485140875361492,-32.92553427269995,57.24393245895549,"4570 days, 0:00:00",498,147,351
002422,2010-06-03,2019-11-26,590833.6670334999,-0.5015012013539678,-40.91663329665042,63.14199796134097,"3298 days, 0:00:00",277,87,190
000301,2000-11-21,2019-11-26,513804.6232864996,-0.3436621177934234,-48.61953767134993,83.6946871045647,"4467 days, 0:00:00",459,120,339
601398,2006-10-27,2019-11-26,1279949.2597104982,-0.11619443751748199,27.994925971050467,43.81544010582258,"4715 days, 0:00:00",334,110,224
002890,2017-08-02,2019-11-26,967595.1255469999,-0.28958854859078126,-3.240487445299889,21.317036157768012,"820 days, 0:00:00",63,19,44
600581,2002-08-16,2019-11-26,2481874.627775007,0.1406988661365534,148.18746277750208,33.675461192950365,"1636 days, 0:00:00",376,112,264
600518,2001-03-19,2019-11-26,593469.790835999,-0.3730369992200755,-40.653020916399775,62.734909686883455,"1920 days, 0:00:00",467,149,318
603658,2016-09-01,2019-11-26,908081.9774309986,-0.32216298861647613,-9.191802256899983,30.113884826478767,"1111 days, 0:00:00",87,22,65
