code,cumReturn(%),endTime,longestDrawDownDuration,maxDrawdown(%),profitableCount,result,shareRatio,startTime,tradeCount,unprofitableCount
000830,1.482571497149876,2018-05-28,"1408 days, 0:00:00",57.292744659894964,66,1014825.7149715016,-0.07327545833271575,2011-05-31,198,132
600729,-39.14340282710017,2018-05-28,"1040 days, 0:00:00",55.98119416866739,52,608565.9717289993,-0.5872058994427832,2011-05-31,178,126
603027,17.035766264099728,2018-05-28,"713 days, 0:00:00",23.353912114158256,22,1170357.662640999,0.21455464340112088,2016-03-07,49,27
603288,2.435462765150298,2018-05-28,"1050 days, 0:00:00",38.51504200840354,37,1024354.6276515005,-0.14916910887706286,2014-02-11,125,88
000018,6.609236130000107,2018-05-28,"1263 days, 0:00:00",29.85672699389402,49,1066092.3612999988,-0.15470421572896131,2011-05-31,150,101
600398,-38.604525309049876,2018-05-28,"1075 days, 0:00:00",51.790189014370746,51,613954.7469095011,-0.5960238064533875,2011-06-01,181,130
002711,24.542206948449685,2018-05-28,"1090 days, 0:00:00",35.24573063408711,30,1245422.069484499,0.14529780327902841,2014-01-27,92,62
300601,6.959500065700186,2018-05-28,"419 days, 0:00:00",34.907847691299956,12,1069595.0006570008,0.14362401447838066,2017-02-07,33,21
600641,-23.294893049749955,2018-04-16,"2484 days, 0:00:00",50.356320527448794,53,767051.0695025006,-0.4248359292319536,2011-05-31,166,113
603369,-8.826168787799771,2018-05-28,"1097 days, 0:00:00",54.6009672197411,31,911738.3121219993,-0.19507594966681827,2014-07-03,104,73
000537,-44.31891690424982,2018-05-28,"2189 days, 0:00:00",61.70952409734723,61,556810.8309575001,-0.37241743089482615,2011-05-31,185,124
300401,2.777822520649953,2018-05-28,"1105 days, 0:00:00",31.23671118026796,25,1027778.2252064993,-0.05950242939567486,2014-10-09,88,63
000040,15.963184235949445,2018-05-28,"1304 days, 0:00:00",28.665865619788434,46,1159631.8423594998,-0.06597245834732628,2011-06-15,151,105
300467,-42.241004180250094,2018-05-28,"902 days, 0:00:00",59.368599085996074,21,577589.9581975004,-0.7584779987318071,2015-05-27,62,41
000858,-9.387434344400392,2018-05-28,"2170 days, 0:00:00",47.715597256334654,75,906125.6565559988,-0.20808153746312127,2011-05-31,199,124
600519,33.58052348570051,2018-05-28,"1877 days, 0:00:00",42.521495712555875,96,1335805.2348570006,0.06997296018529409,2011-05-31,237,141
000735,-51.82945351239978,2018-05-28,"2120 days, 0:00:00",75.57674334760455,66,481705.4648759997,-0.46173447793520483,2011-05-31,188,122
600083,-15.712788307000302,2018-05-28,"1419 days, 0:00:00",27.437133327391106,46,842872.1169299999,-0.3609771686041224,2011-05-31,149,103
300174,49.56210348579984,2018-05-28,"1319 days, 0:00:00",41.769573529895666,42,1495621.0348580012,0.1504387862133428,2011-05-31,139,97
000596,81.40901211050043,2018-05-28,"736 days, 0:00:00",24.561181211634413,64,1814090.1211049994,0.2835791676810412,2011-05-31,186,122
